"RID";"FD";"TD";"KEY";"TP_CDR";"TP_CDR2";"GPRS_UNION";"GEN_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"TAP_NOTIFICATION";"TASK_RID";"NUMBER_TYPES"
6970;1704067200;1714521599;"23212.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
1909;1546300800;1559347199;"23213.2";484;;;1;"01:00";"23:59";720;720;;
1908;1559347200;4070908800;"23213.2";443;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
4153;1546300800;1609459199;"23214.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4152;1609459200;4070908800;"23214.2";1794;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
1870;1546300800;1551398399;"23215.2";484;;;1;"01:00";"23:59";720;720;;
1869;1551398400;4070908800;"23215.2";543;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
4276;1546300800;1609459199;"23216.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4275;1609459200;4070908800;"23216.2";1852;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3769;1546300800;1609459199;"23217.2";484;;;2;"01:00";"23:59";720;720;;
3768;1609459200;4070908800;"23217.2";483;;1;1;"01:00";"23:59";720;720;;"1,2,3"
3552;1546300800;1601510399;"23218.2";484;;;2;"01:00";"23:59";720;720;;
3551;1601510400;4070908800;"23218.2";1613;463;1;1;"01:00";"23:59";720;720;1028994;"1,2,3"
4194;1546300800;1609459199;"23219.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4193;1609459200;4070908800;"23219.2";1812;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
3006;1546300800;1585699199;"23220.2";484;;;1;"01:00";"23:59";720;720;;
3005;1585699200;4070908800;"23220.2";1307;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
1824;1546300800;1569887999;"23221.2";484;;;1;"01:00";"23:59";720;720;;
1825;1569888000;4070908800;"23221.2";743;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
3988;1546300800;1609459199;"23222.2";484;;;2;"01:00";"23:59";720;720;;
3987;1609459200;4070908800;"23222.2";1736;463;1;1;"01:00";"23:59";720;720;1029371;"1,2,3"
2937;1546300800;1577836800;"23223.2";484;;;1;"01:00";"23:59";720;720;;
3855;1609459200;4070908800;"23223.2";463;;1;1;"00:00";"23:59";720;720;1029248;"1,2,3"
3685;1546300800;1609459199;"23224.2";484;;;2;"01:00";"23:59";720;720;;
