"RID";"FD";"TD";"KEY";"TAX_PROFILE";"SERVICE_PROFILE";"TP_CHECK";"CHECK_MODE";"TP_REPRICE";"TRANSIT_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"GEN_RAP";"TRANSIT_RAP";"PASS_RC_LESS_IC";"IOT_THRESHOLD";"IOT_DEBUG"
1757;1546300800;4070908800;"22918.2";3;;;;;1;;;;1;1;0;;
1758;1546300800;4070908800;"22919.2";3;;;;;1;;;;1;0;0;;
1759;1546300800;4070908800;"22920.2";3;;;;;1;;;;1;1;0;;
1760;1546300800;4070908800;"22921.2";3;;;;;1;;;;1;1;0;;
1761;1546300800;4070908800;"22922.2";3;;;;;1;;;;1;1;0;;
1762;1546300800;4070908800;"22923.2";3;;;;;1;;;;1;1;0;;
1763;1546300800;4070908800;"22924.2";3;;;;;1;;;;1;1;0;;
1764;1546300800;4070908800;"22925.2";3;;;;;1;;;;1;0;0;;
1765;1546300800;4070908800;"22926.2";3;;;;;1;;;;1;1;0;;
1766;1546300800;4070908800;"22927.2";3;;;;;1;;;;1;1;0;;
1767;1546300800;4070908800;"22928.2";3;;;;;1;;;;1;1;0;;
1768;1546300800;4070908800;"22929.2";3;;;;;1;;;;1;1;0;;
1769;1546300800;4070908800;"22930.2";3;;;;;1;;;;1;1;0;;
1770;1546300800;4070908800;"22931.2";3;;;;;1;;;;1;1;0;;
1771;1546300800;4070908800;"22932.2";3;;;;;1;;;;1;1;0;;
1772;1546300800;4070908800;"22933.2";3;;;;;1;;;;1;1;0;;
1773;1546300800;4070908800;"22934.2";3;;;;;1;;;;1;0;0;;
1774;1546300800;4070908800;"22935.2";3;;;;;1;;;;1;1;0;;
12596;1700438400;4070908800;"22936.1";3;;;;;1;;;;1;1;0;;0
12597;1546300800;1700438399;"22936.2";3;;;;;1;;;;1;1;0;;
12592;1700438400;4070908800;"22937.1";3;;;;;1;;;;1;1;0;;0
12593;1546300800;1700438399;"22937.2";3;;;;;1;;;;1;1;0;;
1777;1546300800;4070908800;"22938.2";3;;;;;1;;;;1;1;0;;
1778;1546300800;4070908800;"22939.2";3;;;;;1;;;;1;1;0;;
1779;1546300800;4070908800;"22940.2";3;;;;;1;;;;1;0;0;;
1780;1546300800;4070908800;"22941.2";3;;;;;1;;;;1;1;0;;
1781;1546300800;4070908800;"22942.2";3;;;;;1;;;;1;1;0;;
1782;1546300800;4070908800;"22943.2";3;;;;;1;;;;1;0;0;;
1783;1546300800;4070908800;"22944.2";3;;;;;1;;;;1;0;0;;
1784;1546300800;4070908800;"22945.2";3;;;;;1;;;;1;1;0;;
1785;1546300800;4070908800;"22946.2";3;;;;;1;;;;1;1;0;;
1786;1546300800;4070908800;"22947.2";3;;;;;1;;;;1;0;0;;
1787;1546300800;4070908800;"22948.2";3;;;;;1;;;;1;1;0;;
1788;1546300800;4070908800;"22949.2";3;;;;;1;;;;1;1;0;;
12826;1709251200;4070908800;"22950.1";3;;;;;1;;;;1;0;0;;0
12827;1546300800;1709251199;"22950.2";3;;;;;1;;;;1;0;0;;
1790;1546300800;4070908800;"22951.2";3;;;;;1;;;;1;0;0;;
10506;1635724800;4070908800;"22952.1";3;;;;;1;;;;1;0;0;;0
10507;1546300800;1635724799;"22952.2";3;;;;;1;;;;1;1;0;;
1792;1546300800;4070908800;"22953.2";3;;;;;1;;;;1;1;0;;
1793;1546300800;4070908800;"22954.2";3;;;;;1;;;;1;1;0;;
1794;1546300800;4070908800;"22955.2";3;;;;;1;;;;1;1;0;;
1795;1546300800;4070908800;"22956.2";3;;;;;1;;;;1;0;0;;
10226;1609113600;4070908800;"22957.1";0;;;;;1;;;;1;0;0;;0
10227;1546300800;1609113599;"22957.2";3;;;;;1;;;;1;1;0;;
1797;1546300800;4070908800;"22958.2";3;;;;;1;;;;1;1;0;;
1798;1546300800;4070908800;"22959.2";3;;;;;1;;;;1;1;0;;
1799;1546300800;4070908800;"22960.2";3;;;;;1;;;;1;1;0;;
1800;1546300800;4070908800;"22961.2";3;;;;;1;;;;1;1;0;;
9705;1577836800;1596240000;"22962.1";2;;;;;1;;;;1;1;0;;0
3627;1546300800;1577836799;"22962.2";3;;;;;1;;;;1;1;0;;
9846;1577836800;4070908800;"22962.2";2;;;;;1;;;;1;0;0;;0
1802;1546300800;4070908800;"22963.2";3;;;;;1;;;;1;1;0;;
1803;1546300800;4070908800;"22964.2";3;;;;;1;;;;1;1;0;;
9803;1546300800;1577836799;"22965.2";3;;;;;1;;;;1;1;0;;
11727;1577836800;1649980799;"22965.2";2;;;;;1;;;;1;1;0;;0
11726;1649980800;4070908800;"22965.2";0;;;;;1;;;;1;1;0;;0
1805;1546300800;4070908800;"22966.2";3;;;;;1;;;;1;1;0;;
1806;1546300800;4070908800;"22967.2";3;;;;;1;;;;1;1;0;;
1807;1546300800;4070908800;"22968.2";3;;;;;1;;;;1;1;0;;
1808;1546300800;4070908800;"22969.2";3;;;;;1;;;;1;1;0;;
1809;1546300800;4070908800;"22970.2";3;;;;;1;;;;1;1;0;;
1810;1546300800;4070908800;"22971.2";3;;;;;1;;;;1;0;0;;
1811;1546300800;4070908800;"22972.2";3;;;;;1;;;;1;1;0;;
1812;1546300800;4070908800;"22973.2";3;;;;;1;;;;1;1;0;;
1813;1546300800;4070908800;"22974.2";3;;;;;1;;;;1;1;0;;
1814;1546300800;4070908800;"22975.2";3;;;;;1;;;;1;1;0;;
1815;1546300800;4070908800;"22976.2";3;;;;;1;;;;1;0;0;;
1816;1546300800;4070908800;"22977.2";3;;;;;1;;;;1;1;0;;
1817;1546300800;4070908800;"22978.2";3;;;;;1;;;;1;0;0;;
1818;1546300800;4070908800;"22979.2";3;;;;;1;;;;1;1;0;;
1819;1546300800;4070908800;"22980.2";3;;;;;1;;;;1;1;0;;
1820;1546300800;4070908800;"22981.2";3;;;;;1;;;;1;1;0;;
1821;1546300800;4070908800;"22982.2";3;;;;;1;;;;1;1;0;;
1822;1546300800;4070908800;"22983.2";3;;;;;1;;;;1;1;0;;
1823;1546300800;4070908800;"22984.2";3;;;;;1;;;;1;1;0;;
1824;1546300800;4070908800;"22985.2";3;;;;;1;;;;1;1;0;;
1825;1546300800;4070908800;"22986.2";3;;;;;1;;;;1;0;0;;
1826;1546300800;4070908800;"22987.2";3;;;;;1;;;;1;1;0;;
1827;1546300800;4070908800;"22988.2";3;;;;;1;;;;1;1;0;;
1828;1546300800;4070908800;"22989.2";3;;;;;1;;;;1;1;0;;
1829;1546300800;4070908800;"22990.2";3;;;;;1;;;;1;0;0;;
11986;1640995200;4070908800;"22991.1";3;;;;;1;;;;1;1;0;;0
1830;1546300800;4070908800;"22991.2";3;;;;;1;;;;1;1;0;;
1831;1546300800;4070908800;"22992.2";3;;;;;1;;;;1;1;0;;
1832;1546300800;4070908800;"22993.2";3;;;;;1;;;;1;1;0;;
1833;1546300800;4070908800;"22994.2";3;;;;;1;;;;1;1;0;;
1834;1546300800;4070908800;"22995.2";3;;;;;1;;;;1;0;0;;
11746;1651363200;4070908800;"22996.1";0;;;;;1;;;;0;0;0;;0
1835;1546300800;4070908800;"22996.2";3;;;;;1;;;;1;1;0;;
1836;1546300800;4070908800;"22997.2";3;;;;;1;;;;1;1;0;;
1837;1546300800;4070908800;"22998.2";3;;;;;1;;;;1;1;0;;
1838;1546300800;4070908800;"22999.2";3;;;;;1;;;;1;1;0;;
1839;1546300800;4070908800;"23000.2";3;;;;;1;;;;1;0;0;;
1840;1546300800;4070908800;"23001.2";3;;;;;1;;;;1;1;0;;
1841;1546300800;4070908800;"23002.2";3;;;;;1;;;;1;0;0;;
12448;1690761600;4070908800;"23003.1";3;;;;;1;;;;1;1;0;;0
12449;1546300800;1690761599;"23003.2";3;;;;;1;;;;1;1;0;;
1843;1546300800;4070908800;"23004.2";3;;;;;1;;;;1;1;0;;
1844;1546300800;4070908800;"23005.2";3;;;;;1;;;;1;1;0;;
1845;1546300800;4070908800;"23006.2";3;;;;;1;;;;1;1;0;;
1846;1546300800;4070908800;"23007.2";3;;;;;1;;;;1;1;0;;
1847;1546300800;4070908800;"23008.2";3;;;;;1;;;;1;1;0;;
1848;1546300800;4070908800;"23009.2";3;;;;;1;;;;1;1;0;;
1849;1546300800;4070908800;"23010.2";3;;;;;1;;;;1;1;0;;
1850;1546300800;4070908800;"23011.2";3;;;;;1;;;;1;1;0;;
1851;1546300800;4070908800;"23012.2";3;;;;;1;;;;1;0;0;;
1852;1546300800;4070908800;"23013.2";3;;;;;1;;;;1;1;0;;
1853;1546300800;4070908800;"23014.2";3;;;;;1;;;;1;1;0;;
1854;1546300800;4070908800;"23015.2";3;;;;;1;;;;1;1;0;;
1855;1546300800;4070908800;"23016.2";3;;;;;1;;;;1;0;0;;
1856;1546300800;4070908800;"23017.2";3;;;;;1;;;;1;1;0;;
1857;1546300800;4070908800;"23018.2";3;;;;;1;;;;1;0;0;;
1858;1546300800;4070908800;"23019.2";3;;;;;1;;;;1;1;0;;
3389;1546300800;1589109774;"23020.2";3;;;;;1;;;;1;1;0;;
1860;1546300800;4070908800;"23021.2";3;;;;;1;;;;1;1;0;;
1861;1546300800;4070908800;"23022.2";3;;;;;1;;;;1;1;0;;
1862;1546300800;4070908800;"23023.2";3;;;;;1;;;;1;0;0;;
1863;1546300800;4070908800;"23024.2";3;;;;;1;;;;1;1;0;;
1864;1546300800;4070908800;"23025.2";3;;;;;1;;;;1;1;0;;
3388;1546300800;1589109560;"23026.2";3;;;;;1;;;;1;1;0;;
1866;1546300800;4070908800;"23027.2";3;;;;;1;;;;1;0;0;;
1867;1546300800;4070908800;"23028.2";3;;;;;1;;;;1;1;0;;
1868;1546300800;4070908800;"23029.2";3;;;;;1;;;;1;0;0;;
1869;1546300800;4070908800;"23030.2";3;;;;;1;;;;1;1;0;;
1870;1546300800;4070908800;"23031.2";3;;;;;1;;;;1;1;0;;
1871;1546300800;4070908800;"23032.2";3;;;;;1;;;;1;1;0;;
1872;1546300800;4070908800;"23033.2";3;;;;;1;;;;1;1;0;;
1873;1546300800;4070908800;"23034.2";3;;;;;1;;;;1;0;0;;
1874;1546300800;4070908800;"23035.2";3;;;;;1;;;;1;1;0;;
9795;1546300800;1577836799;"23036.2";3;;;;;1;;;;1;1;0;;
9794;1577836800;4070908800;"23036.2";2;;;;;1;;;;1;1;0;;0
1876;1546300800;4070908800;"23037.2";3;;;;;1;;;;1;1;0;;
1877;1546300800;4070908800;"23038.2";3;;;;;1;;;;1;0;0;;
1878;1546300800;4070908800;"23039.2";3;;;;;1;;;;1;0;0;;
1879;1546300800;4070908800;"23040.2";3;;;;;1;;;;1;1;0;;
1880;1546300800;4070908800;"23041.2";3;;;;;1;;;;1;0;0;;
1881;1546300800;4070908800;"23042.2";3;;;;;1;;;;1;0;0;;
