"RID";"TO_EPOCH(FD,0)";"TO_EPOCH(TD,0)";"KEY";"ID";"PLAN_ID";"CONN_TYPE_ID";"ZONE_NAME";"INTERVAL_GROUP_ID";"TRANGE_GROUP_ID";"TRANGE_ID";"CURRENCY_ID";"CTL1";"CTL2";"CTL3";"SERVICE_CLASS";"PRICE";"COEF";"FS";"CL";"REPRICE_MODE";"P_FD"
19122;1583020800;1688169599;"1163.2.406.165.164.164.";5882;1163;2;406;165;164;164;3;2;5;0;;5.5;;;;0;"20200301"
19121;1688169600;4070908800;"1163.2.406.165.164.164.";5882;1163;2;406;165;164;164;3;2;5;0;;5.5;;;;0;"20230701"
19112;1583020800;1688169599;"1163.2.861.163.164.164.";5878;1163;2;861;163;164;164;3;2;0;0;;0.2;0;;;;"20200301"
19111;1688169600;4070908800;"1163.2.861.163.164.164.";5878;1163;2;861;163;164;164;3;2;0;0;;0.2;;;;0;"20230701"
9604;1583020800;1593561600;"1163.27..163.164.164.";5872;1163;27;;163;164;164;3;1;2;2;;0.155;;;;0;"20200301"
19104;1583020800;1688169599;"1163.29..163...";5873;1163;29;;163;;;3;1;2;3;;0;;;;0;"20200301"
19103;1688169600;4070908800;"1163.29..163...";5873;1163;29;;163;;;3;1;2;3;;0;;;;0;"20230701"
19116;1583020800;1688169599;"1163.3...164.164.";5877;1163;3;;;164;164;3;0;0;0;;0;;;;0;"20200301"
19115;1688169600;4070908800;"1163.3...164.164.";5877;1163;3;;;164;164;3;0;0;0;;0;;;;0;"20230701"
19120;1583020800;1688169599;"1163.4...164.164.";5884;1163;4;;;164;164;3;2;1;0;;0.02;;;;0;"20200301"
19119;1688169600;4070908800;"1163.4...164.164.";5884;1163;4;;;164;164;3;2;1;0;;0.02;;;;0;"20230701"
19114;1583020800;1688169599;"1163.7..283.164.164.";5875;1163;7;;283;164;164;3;10;0;0;;0.005;;;;0;"20200301"
19113;1688169600;4070908800;"1163.7..283.164.164.";5875;1163;7;;283;164;164;3;10;0;0;;0.002;;;;0;"20230701"
9681;1593561600;1593592212;"1183.1..185.164.164.";5929;1183;1;;185;164;164;3;0;0;1;;0.847;;;;0;"20200101"
9681;1593592213;1601510399;"1183.1..185.164.164.";5929;1183;1;;185;164;164;3;0;0;1;;0.847;;;;0;"20200101"
9681;1601510400;4070908800;"1183.1..185.164.164.";5929;1183;1;;185;164;164;3;0;0;1;;0.847;;;;0;"20200101"
9677;1593561600;1593592212;"1183.12...164.164.";5922;1183;12;;;164;164;3;0;0;1;;0;;;;0;"20200101"
